Cluster,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Class,Diam,Dist,E(B-V),Age,pmRA,e_pmRA,pmDE,e_pmDE,Nc,r_pmRA,RV,e_RV,o_RV,r_RV,[Fe/H],e_[Fe/H],o_[Fe/H],TrType
FSR 1715,15,48,42,-,50,13,6,IR,3.6,1423,0.729,8.485,-2.85,0.12,-4.46,0.4,82,D14,,,0,,,,0,
FSR 1714,15,49,30,-,50,36,47,IR,7.2,1608,0.833,8.5,-4.4,0.41,-5.12,0.37,135,D14,,,0,,,,0,
NGC 5998,15,49,34,-,28,35,18,,11.0,1170,0.06,9.2,-3.58,0.55,-0.89,0.42,100,D14,,,0,,,,0,
Collinder 292,15,50,8,-,57,37,0,,14.0,1500,0.1,8.73,-4.28,0.18,-2.99,0.16,1035,D14,,,0,,,,0,4-2-m-
ASCC 83,15,50,13,-,52,48,0,,25.2,600,0.15,8.4,-4.04,0.12,-5.05,0.13,1215,D14,,,0,,,,0,
NGC 5999,15,52,8,-,56,28,24,,3.0,2050,0.45,8.6,-0.72,0.42,-2.74,0.54,149,D14,,,0,,0.0,0.08,0,
Majaess 166,15,53,21,-,55,14,52,IR,4.0,0,,,-2.17,0.53,-2.7,0.7,59,D14,,,0,,,,0,
ASCC 84,15,54,54,-,60,44,24,,30.0,900,0.15,7.68,-5.49,0.08,-3.44,0.08,2561,D14,-5.0,3.7,1,D14,,,0,
ESO 275 01,15,55,4,-,46,0,54,,6.0,1475,0.4,7.85,-1.67,0.33,-1.07,0.24,134,D14,,,0,,,,0,3-2-vp-*
NGC 6005,15,55,48,-,57,26,12,,5.0,2690,0.45,9.08,-0.26,0.35,-4.06,0.43,267,D14,-25.2,0.8,11,C14,,,0,
Ruprecht 113,15,57,3,-,59,28,0,,25.0,810,0.15,8.23,-5.57,0.09,-2.63,0.09,2494,D14,,,0,,,,0,4-2-p-*
ESO 389 05,15,57,50,-,36,12,18,,1.8,4785,0.312,9.55,-3.85,0.95,-5.4,0.95,29,K14,,,0,,,,0,2-3-vp-*
Trumpler 23,16,0,49,-,53,32,10,,5.0,1900,0.58,8.95,-2.42,0.24,-4.31,0.28,258,D14,,,0,,,,0,3-1-m-*
Majaess 170,16,0,52,-,51,42,40,IR,5.0,0,,,-3.25,0.3,-3.76,0.1,56,D14,,,0,,,,0,
Moffat 1,16,1,30,-,54,7,0,v,7.0,2100,1.0,7.0,-3.8,0.14,-4.41,0.14,169,D14,-42.0,3.7,1,D14,,,0,
NGC 6025,16,3,17,-,60,25,54,,14.0,756,0.159,7.889,-5.23,0.13,-3.53,0.18,623,D14,-16.1,0.97,6,FM09,0.19,,0,
Lynga 6,16,4,52,-,51,56,0,,5.0,1600,1.25,7.43,-13.61,4.34,-1.83,2.84,1,BDW,-59.4,0.6,1,MMB,,,0,
Ruprecht 114,16,6,20,-,56,52,0,,14.0,2088,0.625,8.9,-4.53,0.16,-4.96,0.18,753,D14,,,0,,,,0,4-1-m-*
