Cluster,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Class,Diam,Dist,E(B-V),Age,pmRA,e_pmRA,pmDE,e_pmDE,Nc,r_pmRA,RV,e_RV,o_RV,r_RV,[Fe/H],e_[Fe/H],o_[Fe/H],TrType
NGC 6664,18,36,37,-,7,48,48,,12.0,1164,0.709,7.162,-0.31,1.54,-2.31,1.17,2,BDW,18.58,0.4,3,MMU,,,0,
IC 4756,18,39,0,+,5,27,0,,39.0,484,0.192,8.699,-0.14,0.23,-3.4,0.23,30,TYC,-25.8,0.6,13,MM90,-0.01,0.1,12,
Stephenson 2,18,39,41,-,6,1,41,,4.5,5900,1.2,7.3,-0.44,0.15,0.8,0.07,62,D14,,,0,,,,0,
Trumpler 34,18,39,48,-,8,25,0,,5.0,1342,0.812,8.585,-0.3,0.01,-3.99,0.01,205,D14,,,0,,,,0,4-2-m-*
ESO 281 24,18,39,59,-,44,11,54,,6.0,3830,0.573,8.945,-1.51,0.41,-3.98,0.5,75,D14,,,0,,,,0,3-3-p-*
Dolidze 32,18,41,5,-,4,4,51,,9.8,1381,1.457,6.0,-0.67,0.01,-1.75,0.04,357,D14,14.0,7.4,1,D14,,,0,2-2-m-*
Dolidze 33,18,41,18,-,4,21,37,d,9.0,1067,1.03,7.5,-0.5,0.01,-1.9,0.01,200,D14,,,0,,-0.05,0.23,0,3-2-m-*
Dolidze 34,18,41,54,-,4,16,37,d,4.0,1422,1.041,7.95,-0.05,0.01,-1.17,0.01,66,D14,7.0,0.0,1,K14,,,0,4-1-p-*
NGC 6683,18,42,13,-,6,12,42,,3.0,1197,0.54,7.0,-1.04,0.01,-2.09,0.01,120,D14,,,0,,,,0,
Teutsch 145,18,42,29,-,5,15,12,,1.9,2700,1.9,8.3,-1.68,0.87,-7.66,0.87,32,K14,,,0,,,,0,
ASCC 98,18,42,36,-,33,37,48,,78.0,800,0.04,8.33,0.69,0.38,-5.26,0.43,20,K05,-54.0,0.0,1,K05,,,0,
Trumpler 35,18,42,54,-,4,8,0,,5.0,1206,1.218,7.862,0.34,0.15,-3.23,0.01,127,D14,-4.7,0.7,0,RGDZ,,,0,
Andrews Lindsay 5,18,44,19,-,4,55,48,,2.3,2289,2.415,6.0,2.59,0.94,-6.33,0.94,17,K14,,,0,,,,0,
Berkeley 79,18,45,12,-,1,13,0,,6.0,2300,1.19,7.81,1.67,0.3,1.32,0.31,83,D14,,,0,,,,0,
NGC 6694,18,45,18,-,9,23,0,,7.0,1660,0.51,8.26,-1.73,1.35,-0.91,0.95,1,BDW,-9.1,0.59,2,MMU,-0.09,0.14,0,
FSR 0087,18,46,0,-,3,37,15,IR,4.6,1174,1.562,8.25,1.66,0.02,0.04,0.03,17,D14,,,0,,,,0,
FSR 0098,18,47,31,+,0,36,51,IR,1.8,5387,1.999,6.1,0.54,0.39,-6.54,0.39,59,K14,,,0,,,,0,
NGC 6698,18,48,4,-,25,52,42,,11.0,1150,0.32,9.28,-6.79,0.24,0.42,0.19,403,D14,,,0,,,,0,
Basel 1,18,48,12,-,5,51,0,,5.0,2178,0.482,7.893,-1.07,0.16,-3.24,0.32,181,D14,,,0,,,,0,
FSR 0089,18,48,39,-,3,30,34,IR,5.0,1516,1.853,8.3,1.03,0.02,-2.91,1.38,17,D14,,,0,,,,0,
ASCC 99,18,49,5,-,18,43,48,,27.6,280,0.15,8.71,6.9,0.64,-2.5,0.49,7,K05,-31.3,0.4,1,D14,,,0,
FSR 0101,18,49,14,+,2,46,6,IR,2.8,1900,2.37,8.95,0.99,0.36,-0.98,0.36,67,K14,,,0,,,,0,
Czernik 38,18,49,42,+,4,56,0,,5.0,1910,2.03,7.0,1.77,0.35,-4.86,0.31,38,D14,,,0,,,,0,1-2-r-*
FSR 0094,18,49,50,-,1,2,55,IR,0.8,2069,2.644,6.0,0.99,0.71,-6.71,0.71,11,K14,,,0,,,,0,
FSR 0090,18,50,20,-,3,34,42,IR,2.6,1388,0.895,8.695,-0.29,0.62,-3.68,0.62,19,K14,,,0,,,,0,
Ruprecht 145,18,50,36,-,18,15,0,,35.0,320,0.18,7.5,6.1,0.44,-5.31,0.49,20,KHA,-8.8,5.16,2,K14,-0.127,0.08,1,3-1-m-*
NGC 6704,18,50,45,-,5,12,18,,5.0,2974,0.717,7.863,-1.69,0.01,-2.04,0.01,179,D14,,,0,,,,0,
NGC 6705,18,51,5,-,6,16,12,,32.0,1877,0.428,8.4,-1.23,0.05,1.31,0.06,5367,D14,35.08,0.32,15,MMU,0.0,0.05,27,
NGC 6709,18,51,18,+,10,19,6,,14.0,1075,0.304,8.178,-0.17,0.1,-2.62,0.05,700,D14,-10.22,0.4,2,MMU,,,0,
Teutsch 146,18,51,34,+,0,11,10,,1.6,3800,1.83,8.6,-1.35,0.66,2.03,0.05,15,D14,,,0,,,,0,
Collinder 394,18,52,16,-,20,12,12,,22.0,690,0.235,7.803,1.96,0.11,-3.78,0.11,1433,D14,6.0,0.3,0,RGDZ,,,0,
Stephenson 1,18,53,30,+,36,55,0,,20.0,390,0.04,7.731,1.4,0.06,-2.46,0.15,261,D14,-27.47,6.39,3,K07,,,0,
Berkeley 80,18,54,22,-,1,13,0,,4.0,1413,1.31,8.6,0.91,0.36,0.26,0.55,52,D14,,,0,,0.0,,0,2-1-p-*
NGC 6716,18,54,34,-,19,54,6,,10.0,789,0.22,7.961,0.45,0.2,-1.56,0.21,390,D14,6.0,7.4,1,D14,-0.31,,0,
Archinal 1,18,54,49,+,5,32,54,,2.0,1413,1.52,7.1,-0.29,0.37,-3.13,0.37,49,K14,,,0,,,,0,2-3-p-*
Poole J1855+10.8,18,55,3,+,10,47,21,,6.0,4457,0.791,8.975,-1.72,0.32,-3.2,0.37,126,D14,,,0,,,,0,
Alessi 62,18,55,49,+,21,34,49,,23.0,546,0.167,8.95,-1.84,0.03,-2.48,0.07,1102,D14,,,0,,,,0,
Poole J1856+10.8,18,55,53,+,10,46,17,,3.5,4389,0.895,8.975,-0.9,0.26,-3.09,0.25,75,D14,,,0,,,,0,
ESO 524 01,18,56,37,-,26,57,39,,6.0,2800,0.3,9.5,-1.49,0.43,-4.76,0.42,126,D14,,,0,,,,0,
NGC 6724,18,56,45,+,10,26,47,,6.0,1105,1.0,8.95,-1.21,0.02,-3.59,0.15,138,D14,,,0,,,,0,
NGC 6728,18,58,44,-,8,58,12,,15.6,1000,0.15,8.93,-0.78,0.05,-5.95,0.08,1056,D14,,,0,,,,0,
NGC 6735,19,0,37,-,0,28,30,,12.0,1466,0.87,8.7,1.0,0.09,-1.71,0.06,505,D14,,,0,,,,0,
NGC 6743,19,1,20,+,29,16,36,,7.0,1111,0.19,9.15,1.09,0.18,-4.09,0.4,120,D14,,,0,,,,0,
NGC 6738,19,1,21,+,11,36,54,n,15.0,700,0.05,9.16,1.19,0.09,-3.2,0.13,626,D14,,,0,,,,0,4-2-p-*
ASCC 100,19,1,37,+,33,34,12,,37.2,350,0.02,8.01,2.29,0.43,-1.51,0.4,11,K05,-25.96,0.37,3,D14,,,0,
Berkeley 81,19,1,40,-,0,27,22,,5.0,3000,1.0,9.0,1.46,0.01,-0.7,0.01,186,D14,48.1,2.0,17,HF14,-0.15,0.11,6,
NGC 6737,19,2,20,-,18,32,59,n,8.8,2120,0.76,8.7,-0.97,0.23,-1.75,0.28,264,D14,,,0,,,,0,
FSR 0100,19,3,54,-,0,1,34,IR,2.1,2687,2.186,8.0,1.56,0.53,-3.61,0.53,30,K14,,,0,,,,0,
ESO 397 01,19,4,9,-,33,23,6,,6.0,1089,0.19,9.1,-0.5,0.64,-3.65,0.52,83,D14,,,0,,,,0,4-3-p-*
Alessi 56,19,6,52,+,9,35,0,,2.2,3900,2.0,,0.23,0.66,0.17,0.66,18,K14,,,0,,,,0,
Juchert 3,19,7,33,+,6,17,10,,3.0,828,1.67,8.95,-1.27,0.1,-2.35,1.31,12,D14,,,0,,,,0,
Czernik 39,19,7,44,+,4,20,0,,2.5,1340,2.9,7.0,-6.03,0.52,-7.96,0.52,38,K14,,,0,,,,0,3-2-m-*
NGC 6755,19,7,49,+,4,16,0,,14.0,1421,0.826,7.719,0.19,0.05,-3.16,0.08,713,D14,26.63,0.04,2,MMU,,,0,
NGC 6756,19,8,42,+,4,42,18,,4.0,1507,1.18,7.79,-1.03,0.01,-3.43,0.01,121,D14,,,0,,0.1,0.14,0,
FSR 0107,19,9,2,+,1,32,10,IR,7.2,2847,1.02,9.1,-1.73,0.01,-4.49,0.02,288,D14,,,0,,,,0,
Riddle 15,19,11,9,+,14,50,4,,0.8,6288,1.42,9.1,-3.67,0.71,-7.0,0.71,36,K14,,,0,,,,0,
Berkeley 82,19,11,20,+,13,7,6,,2.0,860,1.021,7.493,-0.06,0.99,-4.38,1.78,3,LOK,-2.8,0.58,2,K14,,,0,
FSR 0124,19,11,42,+,12,3,5,IR,3.2,3026,1.228,8.75,0.98,0.49,-1.37,0.71,86,D14,,,0,,,,0,
FSR 0123,19,11,42,+,12,3,5,IR,1.8,3308,1.249,8.76,2.05,0.73,-1.01,1.17,54,D14,,,0,,,,0,
ASCC 101,19,13,37,+,36,19,48,,43.2,350,0.0,8.52,0.81,0.69,1.87,0.54,12,K05,-32.0,2.1,1,D14,,,0,
ESO 282 26,19,13,52,-,42,38,54,p,15.0,1400,0.1,9.11,1.92,0.38,-6.59,0.37,199,D14,,,0,,,,0,4-3-p-*
NGC 6773,19,15,3,+,4,52,54,,8.6,2160,1.16,8.0,-2.57,0.22,-1.55,0.23,206,D14,,,0,,,,0,
Berkeley 43,19,15,36,+,11,13,0,,5.0,1030,2.3,8.5,16.65,0.18,18.8,0.04,6,D14,,,0,,0.0,,0,2-1-m-*
Ruprecht 147,19,16,42,-,16,17,0,,25.0,295,0.25,9.4,-1.1,,-27.3,,0,CWW,41.07,0.52,4,CWW,,,0,4-2-p-*
NGC 6775,19,16,48,-,0,55,24,,2.4,1185,0.48,8.95,2.28,0.49,-7.45,0.49,50,K14,,,0,,,,0,
ESO 231 30,19,16,52,-,51,29,30,,20.0,3276,0.073,9.5,-0.41,0.32,-4.76,0.38,283,D14,43.65,0.64,1,D14,,,0,4-3-p-*
Berkeley 44,19,17,12,+,19,33,0,,10.0,1800,1.4,9.11,0.99,0.12,-4.92,0.01,173,D14,-9.6,3.0,32,HF14,,,0,3-1-m-*
ESO 141 47,19,18,3,-,57,54,12,p,7.0,1787,0.33,9.1,2.9,0.74,-7.89,1.01,57,D14,-23.5,1.4,1,D14,,,0,
Berkeley 45,19,19,12,+,15,43,0,,2.0,2350,1.4,8.6,0.12,0.44,-3.97,0.44,40,K14,,,0,,,,0,2-1-p-*
ESO 337 23,19,19,13,-,37,37,18,,5.0,1995,0.312,9.2,-0.58,0.62,-3.68,1.29,32,D14,,,0,,,,0,
NGC 6791,19,20,53,+,37,46,18,,10.0,5035,0.16,9.92,-0.83,0.15,-4.91,0.23,321,D14,-47.4,0.13,193,TGMP,0.42,0.01,21,
Alessi 57,19,20,54,+,15,40,36,,2.5,3900,2.11,,0.57,0.58,-5.89,0.58,19,K14,,,0,,,,0,
FSR 0126,19,21,9,+,13,46,30,IR,6.2,2110,1.176,6.95,2.02,0.02,-2.38,0.06,47,D14,,,0,,,,0,
Juchert 1,19,22,32,+,12,40,0,,3.2,2623,1.27,9.1,2.59,1.07,1.79,0.03,10,D14,,,0,,,,0,
NGC 6793,19,23,14,+,22,8,30,,6.0,1100,0.17,8.64,2.9,0.11,1.41,0.13,139,D14,,,0,,,,0,3-2-p-*
FSR 0134,19,24,30,+,16,53,33,IR,3.3,2478,1.645,7.0,1.42,0.02,-7.25,1.42,21,D14,,,0,,,,0,
ASCC 102,19,24,50,+,29,57,0,,21.6,1500,0.0,8.79,-1.0,0.06,-1.4,0.07,1232,D14,,,0,,,,0,
Kronberger 13,19,25,15,+,13,56,42,,1.2,1380,1.13,8.6,1.65,0.83,4.07,0.81,12,D14,,,0,,,,0,
Dolidze 35,19,25,24,+,11,39,30,d,7.0,708,0.57,8.6,-2.18,0.45,-4.01,0.73,54,D14,,,0,,0.0,0.5,0,4-2-p-*
FSR 0118,19,25,45,+,8,5,42,IR,2.7,2883,0.625,9.025,-5.78,0.41,-3.56,0.41,61,K14,,,0,,,,0,
FSR 0129,19,26,56,+,13,58,56,IR,6.2,1305,1.312,8.48,-0.39,0.02,0.18,0.26,52,D14,,,0,,,,0,
NGC 6800,19,27,7,+,25,8,24,,5.0,1000,0.4,8.59,-0.53,0.11,-3.27,0.37,110,D14,,,0,,,,0,4-1-p-*
ESO 525 08,19,27,16,-,23,34,35,,6.0,1640,0.36,9.0,0.99,0.62,-1.43,0.4,61,D14,,,0,,,,0,
Berkeley 47,19,28,36,+,17,22,6,,3.0,1070,1.5,8.7,0.45,0.01,0.88,0.49,48,D14,,,0,,,,0,2-2-p-*
King 26,19,29,1,+,14,52,2,,4.4,2600,1.27,8.64,0.21,0.36,-2.55,0.11,73,D14,,,0,,,,0,2-1-p-*
Teutsch 40,19,29,16,+,23,18,38,,5.0,2980,0.96,8.9,-3.83,0.16,-0.12,0.36,98,D14,,,0,,,,0,
FSR 0133,19,29,47,+,15,34,28,IR,7.6,2814,2.186,8.415,0.77,0.48,-3.46,0.01,73,D14,,,0,,,,0,
Teutsch 42,19,30,13,+,18,32,9,,1.2,1600,2.55,7.5,-1.96,0.03,-5.06,1.82,11,D14,,,0,,,,0,
NGC 6802,19,30,35,+,20,15,42,,5.0,1778,0.84,8.98,-1.82,0.35,-4.3,0.01,167,D14,12.4,2.8,25,HF14,0.03,0.13,0,
FSR 0131,19,30,42,+,15,25,59,IR,3.4,1303,2.873,6.7,-2.08,0.14,-2.85,0.98,10,D14,,,0,,,,0,
Kronberger 79,19,33,55,+,18,31,12,,2.1,2700,1.3,8.35,3.03,0.5,-3.09,0.5,56,K14,,,0,,,,0,
FSR 0142,19,35,39,+,20,7,44,IR,4.5,2669,1.145,6.4,-2.4,0.01,-0.69,0.16,74,D14,,,0,,,,0,
Stock 1,19,35,48,+,25,13,0,,52.0,318,0.16,8.48,5.72,0.33,1.44,0.29,18,KHA,,,0,,,,0,
Teutsch 35,19,35,56,+,35,40,6,,43.2,700,0.0,8.37,-1.96,0.04,-2.57,0.05,3662,D14,,,0,,,,0,
NGC 6811,19,37,17,+,46,23,18,,14.0,1215,0.16,8.799,-4.47,0.06,-7.63,0.02,319,D14,6.68,0.08,5,MBNB,-0.02,0.04,2,
Teutsch 27,19,37,23,+,18,41,55,,3.6,2480,0.96,8.78,-1.76,0.33,-5.0,0.67,68,D14,,,0,,,,0,
Collinder 401,19,38,21,+,0,20,43,nf,1.0,0,,,-3.22,4.87,4.57,2.28,11,D14,,,0,,,,0,
ASCC 104,19,38,53,+,18,41,24,,57.6,800,0.33,7.71,-0.09,0.31,-4.65,0.33,22,K05,-6.68,4.21,3,D14,,,0,
Saurer 5,19,39,31,+,25,38,42,,1.8,8329,1.15,9.05,-6.11,0.54,5.06,0.03,13,D14,,,0,,,,0,
Kronberger 31,19,40,11,+,26,15,48,,1.3,11900,0.84,,-3.94,0.02,-2.92,0.4,40,D14,,,0,,,,0,
NGC 6819,19,41,16,+,40,11,49,,13.0,2403,0.16,9.36,-6.07,0.13,-3.57,0.09,873,D14,2.3,0.04,537,GSC,-0.02,0.02,0,
ASCC 105,19,41,46,+,27,22,48,,72.0,500,0.09,8.0,0.91,0.32,-3.76,0.27,32,K05,-18.75,5.25,2,K07,,,0,
Skiff J1942+38.6,19,42,24,+,38,39,0,,10.0,2642,0.125,9.25,-6.47,0.16,-5.12,0.2,285,D14,,,0,,,,0,
Collinder 404,19,42,28,+,23,5,16,,0.8,0,,,,,,,0,,,,0,,,,0,
Alessi 44,19,42,33,+,1,31,23,,79.2,500,0.35,8.42,-1.16,0.21,-2.74,0.36,14,K05,-62.2,0.2,1,K07,,,0,
Czernik 40,19,42,36,+,21,9,14,,14.4,3090,0.99,8.9,-1.37,0.06,-4.48,0.03,492,D14,,,0,,,,0,2-2-m-*
Teutsch 43,19,42,46,+,29,51,37,,2.6,2100,1.38,9.3,-4.43,0.77,-4.46,0.77,25,K14,,,0,,,,0,
NGC 6823,19,43,9,+,23,18,0,,6.0,3176,0.854,6.5,-1.41,0.94,-3.04,0.92,2,BDW,13.59,5.99,2,D14,,,0,
FSR 0160,19,44,44,+,26,54,36,IR,2.2,2289,0.937,8.69,-3.83,0.36,-3.89,0.36,90,K14,,,0,,,,0,
Turner 9,19,44,49,+,29,15,54,,33.0,852,,8.2,-1.62,0.04,-4.35,0.04,4918,D14,-18.52,6.2,6,K07,,,0,
Roslund 1,19,45,0,+,17,31,0,,3.0,670,0.05,8.47,1.18,0.4,-7.08,0.65,7,K05,,,0,,,,0,4-1-p-*
Kronberger 4,19,45,11,+,28,9,40,,1.3,7900,0.56,,-2.8,0.63,-4.69,0.86,50,D14,,,0,,,,0,
Turner 8,19,45,16,+,27,50,30,,5.0,2160,1.16,9.7,-0.6,0.15,-5.73,0.35,86,D14,,,0,,,,0,
Roslund 2,19,45,24,+,23,55,0,,14.0,2000,0.9,6.89,-1.13,0.05,-4.1,0.01,271,D14,1.0,3.7,1,D14,,,0,4-2-p-n
Dolidze 53,19,46,23,+,24,39,5,o,12.8,1392,0.874,7.335,-0.99,0.01,-3.49,0.13,190,D14,-1.0,10.9,1,D14,,,0,
Teutsch 7,19,47,42,+,24,15,34,,8.0,7070,1.57,8.48,-0.11,0.18,-1.66,0.09,131,D14,,,0,,0.17,0.03,3,
FSR 0154,19,47,58,+,23,21,2,IR,0.8,4394,1.509,7.0,-3.58,0.24,-5.33,0.24,215,K14,,,0,,,,0,
FSR 0158,19,47,59,+,26,1,56,IR,1.2,2769,1.208,8.505,0.58,0.02,-6.26,0.85,29,D14,,,0,,,,0,
NGC 6832,19,48,15,+,59,25,18,,24.0,1750,0.1,9.48,-1.17,0.05,-2.94,0.18,353,D14,,,0,,,,0,
Turner 1,19,48,25,+,27,17,35,,4.0,1675,0.476,7.46,-3.48,0.55,-3.81,0.32,64,D14,0.5,1.7,1,D14,,,0,
ASCC 107,19,48,32,+,21,57,36,,13.2,700,0.2,8.41,0.93,0.12,-4.04,0.18,423,D14,-7.0,3.7,1,D14,,,0,
NGC 6827,19,48,53,+,21,12,54,r,3.0,4550,0.78,8.98,1.92,0.87,-5.07,0.53,70,D14,,,0,,,,0,2-2-m-*
Dias 7,19,49,21,+,21,10,12,,10.0,2540,0.42,9.3,0.48,0.08,-6.19,0.16,410,D14,,,0,,,,0,
NGC 6828,19,50,17,+,7,54,12,n,9.0,600,0.2,8.56,0.25,0.33,-4.98,0.29,152,D14,-21.0,0.0,1,K05,,,0,
NGC 6830,19,50,59,+,23,6,0,,5.0,1639,0.501,7.572,0.89,1.17,-2.76,1.03,1,BDW,-30.9,0.9,1,K07,0.24,0.05,0,
Czernik 41,19,51,1,+,25,16,7,,4.4,1360,1.28,8.7,-2.49,0.62,-2.6,0.15,68,D14,,,0,,,,0,3-2-m-*
Saurer 6,19,51,2,+,32,14,35,,1.8,9330,0.77,9.29,-2.08,0.12,-1.56,0.6,34,D14,,,0,,,,0,
FSR 0182,19,51,46,+,33,30,43,IR,1.2,4569,0.625,9.0,-2.79,0.03,-3.78,0.82,60,D14,,,0,,,,0,
Dias 8,19,52,6,+,11,38,4,,10.0,2220,0.3,9.35,-2.56,0.35,-3.28,0.26,237,D14,,,0,,,,0,
NGC 6834,19,52,12,+,29,24,30,,5.0,2067,0.708,7.883,-3.43,0.06,-3.16,0.15,171,D14,-6.8,1.4,1,D14,,,0,
Harvard 20,19,53,6,+,18,20,0,,7.0,1604,0.229,8.05,-1.68,0.13,-0.93,0.29,241,D14,,,0,,,,0,
NGC 6837,19,53,8,+,11,41,54,,4.6,943,0.25,9.0,-1.61,0.64,-0.76,0.26,60,D14,,,0,,,,0,4-1-p-*
ASCC 108,19,53,49,+,39,22,12,,26.4,1100,0.05,8.64,-0.21,0.42,-0.81,0.31,12,K05,,,0,,,,0,
ASCC 109,19,54,0,+,34,34,48,,60.0,450,0.0,8.31,0.47,0.4,-2.23,0.68,16,K05,,,0,,,,0,
NGC 6839,19,54,33,+,17,56,18,,6.0,1410,0.29,9.15,-0.85,0.25,-3.28,0.27,196,D14,,,0,,,,0,4-1-p-*
NGC 6840,19,55,18,+,12,7,36,,6.0,1970,0.25,9.11,-0.65,0.38,1.01,0.47,103,D14,,,0,,,,0,
NGC 6843,19,56,6,+,12,9,48,,5.0,1945,0.3,9.11,0.38,0.86,2.75,0.4,89,D14,,,0,,,,0,
NGC 6846,19,56,28,+,32,20,54,,2.0,4450,1.05,8.7,0.12,0.61,-3.95,0.61,83,K14,,,0,,,,0,4-1-p-*
NGC 6847,19,56,37,+,30,12,48,r,20.0,1894,0.58,8.7,-0.81,0.08,-2.83,0.08,1191,D14,,,0,,,,0,4-3-r-n
SAI 132,19,57,1,+,31,36,31,,8.0,2860,0.94,8.75,-1.75,0.07,-3.81,0.05,272,D14,,,0,,,,0,
FSR 0165,19,58,6,+,26,45,31,IR,7.9,2628,1.249,6.91,-1.32,0.29,-2.76,0.01,137,D14,,,0,,,,0,
Kronberger 52,19,58,8,+,30,53,18,,1.2,705,2.45,8.11,-0.87,0.57,-3.79,0.44,39,D14,,,0,,,,0,
Loiano 1,19,58,14,+,32,32,42,,6.0,2700,0.44,8.4,-0.7,0.29,-4.63,0.2,136,D14,,,0,,,,0,
Roslund 3,19,58,42,+,20,29,0,,5.0,1467,0.348,8.036,-0.98,0.05,-4.74,0.01,153,D14,-4.7,3.0,0,RGDZ,,,0,
NGC 6856,19,59,17,+,56,7,48,r,3.2,1704,0.16,9.26,-2.85,0.84,-6.54,0.25,18,D14,,,0,,,,0,3-2-p-*
Berkeley 49,19,59,30,+,34,38,30,,2.5,2090,1.18,8.9,-2.9,0.38,-3.3,0.38,47,K14,,,0,,,,0,1-1-p-*
Patchick 89,19,59,33,+,49,18,50,,1.4,1845,0.33,9.35,4.55,0.14,-5.38,0.02,19,D14,,,0,,,,0,
FSR 0163,20,0,19,+,25,25,16,IR,4.4,3412,1.041,8.55,-1.48,0.13,-4.8,0.31,74,D14,,,0,,,,0,
Kronberger 68,20,0,36,+,30,35,23,,2.2,710,2.19,8.3,-3.27,0.76,-5.46,0.76,62,K14,,,0,,,,0,
Berkeley 83,20,1,18,+,28,37,0,,2.0,5728,1.3,8.95,-3.03,0.35,-6.91,0.35,66,K14,,,0,,0.0,,0,2-1-p-*
Toepler 1,20,1,18,+,33,37,12,,1.5,2793,0.65,7.85,-3.49,0.16,-7.96,0.01,52,D14,,,0,,,,0,
FSR 0162,20,1,32,+,25,14,6,IR,1.5,1721,0.687,8.95,-0.02,2.33,-6.15,1.82,10,D14,,,0,,,,0,
Kronberger 69,20,1,59,+,31,26,18,,4.0,6140,1.8,7.85,-2.63,0.16,-2.75,0.03,107,D14,,,0,,,,0,
FSR 0188,20,2,5,+,33,55,9,IR,3.4,3354,1.312,8.2,-1.14,0.35,-5.43,0.33,97,D14,,,0,,,,0,
Teutsch 8,20,2,23,+,35,18,41,,1.1,1600,0.58,7.0,-1.94,0.07,4.83,0.18,7,D14,,,0,,,,0,
FSR 0198,20,2,27,+,35,40,31,IR,7.0,1700,0.96,7.0,-2.63,0.23,-4.93,0.34,132,D14,-13.0,3.7,1,D14,,,0,
Dolidze 36,20,2,30,+,42,6,0,,14.0,900,0.22,8.83,-1.47,0.13,-3.39,0.21,437,D14,77.0,14.1,1,D14,,,0,4-3-r-n
NGC 6858,20,2,56,+,11,15,30,,10.0,1310,0.13,9.4,1.82,0.22,-0.51,0.1,202,D14,,,0,,,,0,
ASCC 110,20,3,0,+,33,34,12,,27.6,800,0.15,8.75,-1.81,0.05,-6.49,0.06,3530,D14,-2.87,3.62,5,D14,,,0,
Dolidze 37,20,3,0,+,37,41,0,,8.0,1400,2.311,7.585,-0.16,0.32,-3.42,0.35,112,D14,,,0,,,,0,4-2-p-n
Kronberger 54,20,3,8,+,31,58,1,,0.8,1715,0.94,8.4,-4.2,0.45,-3.35,0.45,105,K14,,,0,,,,0,
NGC 6866,20,3,55,+,44,9,30,,14.0,1189,0.074,8.91,-1.39,0.17,-3.07,0.13,498,D14,13.68,0.06,2,MMU,-0.013,0.002,0,
Berkeley 84,20,4,43,+,33,54,24,,2.5,2750,0.73,8.65,-2.09,0.41,-0.41,0.41,42,K14,,,0,,,,0,2-1-p-n
Alessi 10,20,4,46,-,10,28,42,,18.0,513,0.22,8.35,2.32,1.08,-8.57,1.08,17,AMD,75.9,2.6,1,K14,,,0,4-3-p-*
FSR 0167,20,4,50,+,27,4,14,IR,5.2,1993,1.249,8.2,0.56,0.27,3.22,0.25,100,D14,,,0,,,,0,
Roslund 4,20,4,54,+,29,13,0,,5.0,2000,0.91,6.6,-2.9,0.06,-4.91,0.05,80,D14,-15.7,5.2,0,DMFA,,,0,
ESO 461 38,20,4,54,-,30,21,0,,4.0,2402,0.458,8.975,-1.03,0.79,-8.46,0.96,22,D14,,,0,,,,0,4-3-p-n
FSR 0190,20,5,28,+,33,34,29,IR,4.2,3924,0.874,6.1,-2.73,0.1,-6.95,0.25,109,D14,,,0,,,,0,
Dolidze 38,20,5,42,+,41,12,0,,18.0,1200,0.15,8.95,-1.73,0.09,-6.11,0.13,767,D14,,,0,,,,0,4-3-r-n
Dol Dzim 10,20,5,48,+,40,32,0,,2.5,1670,0.55,9.0,-4.77,0.63,-1.84,0.63,16,K14,,,0,,,,0,
NGC 6871,20,5,59,+,35,46,36,,29.0,1574,0.443,6.958,-3.26,0.04,-5.15,0.05,2585,D14,-108.01,2.41,11,D14,,,0,
Kronberger 28,20,6,32,+,35,34,34,,0.8,550,2.26,8.6,-2.11,0.55,-5.43,0.55,59,K14,,,0,,,,0,
Basel 6,20,6,48,+,38,21,0,,7.0,1548,0.58,7.977,-2.21,0.14,-2.99,0.19,228,D14,,,0,,,,0,
FSR 0192,20,6,52,+,33,49,48,IR,5.6,2645,0.895,7.2,-1.57,0.33,-6.86,0.31,119,D14,,,0,,,,0,
Biurakan 1,20,7,30,+,35,41,0,,10.0,1600,0.33,7.25,-2.83,0.16,-4.65,0.16,421,D14,-9.0,3.7,2,D14,,,0,4-3-p-n
NGC 6873,20,7,44,+,21,5,51,,15.0,1250,0.35,8.94,-2.73,0.09,-5.82,0.13,607,D14,,,0,,,,0,
FSR 0170,20,7,46,+,27,33,55,IR,3.6,4023,2.415,8.9,-1.23,0.25,2.94,0.7,8,D14,,,0,,,,0,
Biurakan 2,20,9,12,+,35,29,0,,20.0,1106,0.36,7.011,-1.95,0.08,-4.49,0.1,914,D14,-19.66,2.86,4,D14,,,0,
Dolidze 1,20,9,38,+,36,30,21,OC,8.0,1445,0.625,7.6,-1.27,0.09,-5.65,0.11,275,D14,4.0,3.7,1,D14,,,0,4-2-p-n
FSR 0189,20,9,46,+,32,54,47,IR,5.6,2588,1.041,6.5,-2.84,0.59,-11.15,0.5,55,D14,,,0,,,,0,
Dolidze 2,20,9,54,+,41,22,0,d,6.0,4296,0.729,8.785,-0.16,0.35,-6.16,0.37,141,D14,,,0,,,,0,4-1-p-n
Roslund 5,20,10,0,+,33,46,0,,50.0,389,0.098,7.832,2.32,0.34,-1.5,0.34,60,TYC,-17.66,4.6,13,D14,,,0,
IC 1311,20,10,18,+,41,13,0,,5.0,6026,0.28,9.2,0.59,0.4,-6.51,0.4,91,D14,-63.15,1.79,5,WC09,-0.3,0.16,5,
Berkeley 50,20,10,24,+,34,58,0,,2.0,2653,0.75,8.35,-1.06,0.21,-2.39,0.21,150,K14,,,0,,,,0,2-1-p-n
ASCC 111,20,11,13,+,37,27,0,,66.0,1600,0.3,7.05,-0.08,0.04,0.14,0.06,8004,D14,-11.06,0.94,13,D14,,,0,
