recno	P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	r_pmRA	pmRA	pmDE	Nc	K14	RV	o_RV	r_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
875	P	NGC 2588	08 23 10	-32 58 30		2.0	4950	0.3	8.65	K14	0.04	3.17	80	K14							WEBDA	Lynga
876		Majaess 104	08 23 15	-41 46 06	IR	6.0				D14	-5.49	6.65	21	K14							WEBDA	Lynga
877	P	Collinder 185	08 23 21	-36 20 00		10.0	1486	0.21	8.11	BDW	-2.81	3.72	2	K14							WEBDA	Lynga
878		NGC 2587	08 23 25	-29 30 30		16.0	2700	0.1	8.7	PCA	-4.3	-2.5	18	K14						2-2-p-*	WEBDA	Lynga
879		Collinder 187	08 24 13	-29 10 00	d	5.0	2187	0.312	8.915	D14	-2.2	1.39	71	K14						3-1-p-*	WEBDA	Lynga
880		ESO 312 03	08 24 26	-41 17 52		6.0	2170	0.52	8.9	D14	-3.28	1.59	106	K14						3-2-R-*	WEBDA	Lynga
881		Ruprecht 60	08 24 26	-47 12 51		8.0	6160	0.64	8.6	D14	-1.29	3.5	138	K14						3-2-m-*	WEBDA	Lynga
882		FSR 1394	08 24 32	-41 17 49	IR	1.0				D14	-3.6	10.14	16	K14							WEBDA	Lynga
883		Ruprecht 61	08 25 17	-34 09 00		2.0	3900	0.3	9.11	K14	-1.42	3.67	41	K14				-0.38		2-2-p-*	WEBDA	Lynga
884		Saurer 2	08 25 28	-39 38 02		3.0	6600	1.07	9.3	D14	-1.01	3.64	24	K14							WEBDA	Lynga
885		ESO 312 04	08 26 51	-41 14 39		2.0	2410	0.49	8.75	K14	-6.31	7.61	11	K14						4-2-p-*	WEBDA	Lynga
886		ESO 370 13	08 27 09	-34 42 18		2.0	2760	0.13	9.05	K14	-0.42	4.64	19	K14						4-2-vp-*	WEBDA	Lynga
887		SAI 90	08 27 59	-41 46 10		7.0	2740	1.02	9.05	D14	-1.91	1.81	86	K14							WEBDA	Lynga
888		FSR 1390	08 28 22	-40 05 07	IR	0.8	2397	1.249	8.3	K14	-2.93	4.0	71	K14							WEBDA	Lynga
889		NGC 2609	08 29 32	-61 06 36		5.0	1320	0.23	8.9	D14	-4.76	3.6	47	K14						4-2-p-*	WEBDA	Lynga
890		Ruprecht 157	08 29 49	-19 06 00		6.0	2059	0.75	7.75	D14	-3.01	0.71	49	K14						4-2-p-*	WEBDA	Lynga
891		BH 34	08 31 15	-44 30 00		25.0	950	0.03	8.48	D14	-4.0	0.54	656	K14	24.0	1	DL03			4-2-p-n	WEBDA	Lynga
892	P	Pismis 3	08 31 22	-38 39 00		5.0	1394	1.3	9.027	D14	-3.42	3.82	75	K14							WEBDA	Lynga
893		ESO 313 03	08 31 41	-41 47 30		2.5	3048	0.92	8.85	K14	-2.22	4.67	13	K14						2-2-r-*	WEBDA	Lynga
894		Alessi Teutsch 7	08 31 44	-39 07 54		60.0	900	0.1	7.88	K05	-8.94	5.2	17	K14	11.0	1	D14				WEBDA	Lynga
895		ESO 370 17	08 31 52	-36 11 59		3.0	2695	0.458	9.0	D14	-6.03	-0.16	20	K14							WEBDA	Lynga
896		Teutsch 64	08 32 31	-41 59 17		4.6	2980	0.96	8.9	D14	-0.88	-0.57	49	K14							WEBDA	Lynga
897		Ruprecht 62	08 32 32	-19 41 00	d	6.0	2160	0.396	8.735	D14	-1.13	2.05	49	K14						4-2-p-*	WEBDA	Lynga
898		Ruprecht 63	08 32 40	-48 18 20		14.0	3760	0.61	8.7	D14	-2.06	4.81	431	K14						2-3-p-*	WEBDA	Lynga
899		ASCC 48	08 34 30	-37 36 36		38.4	400	0.0	9.09	K05	-11.63	10.72	9	K14	22.5	1	D14				WEBDA	Lynga
900	P	Pismis 4	08 34 36	-44 25 00		25.0	593	0.013	7.533	D14	-2.68	1.27	770	K14	30.0	1	D14	-0.2			WEBDA	Lynga
901		BH 37	08 35 49	-43 37 00		3.0	11220	1.05	8.84	D14	-4.42	1.89	44	K14						2-2-m-*	WEBDA	Lynga
902		SAI 91	08 37 03	-50 03 52		4.0	3090	0.51	8.8	D14	-2.92	3.79	54	K14							WEBDA	Lynga
903		FSR 1412	08 37 09	-44 09 11	IR	1.9	2644	1.208	7.05	K14	-3.83	7.21	76	K14							WEBDA	Lynga
904	P	NGC 2627	08 37 15	-29 57 18		8.0	2000	0.12	9.15	D14	-4.11	2.96	269	K14	25.99	3	MMU	-0.12			WEBDA	Lynga
905		Ruprecht 64	08 37 20	-40 09 00		70.0	800	0.06	8.45	KHA	-5.17	5.84	11	K14	26.9	2	K07			2-3-r-*	WEBDA	Lynga
906	P	Pismis 5	08 37 38	-39 35 00		12.0	869	0.421	7.197	D14	-4.9	2.84	71	K14							WEBDA	Lynga
907		FSR 1429	08 37 44	-46 01 35	IR	1.3	3371	0.812	8.2	D14	-3.04	3.48	22	K14							WEBDA	Lynga
908	P	NGC 2635	08 38 26	-34 46 12		8.0	4000	0.35	8.78	D14	-4.24	0.76	208	K14				-0.61			WEBDA	Lynga
909	P	NGC 2645	08 39 03	-46 14 00		3.0	1668	0.38	7.283	D14	-3.06	2.53	65	K14	22.16	4	D14				WEBDA	Lynga
910		Ruprecht 65	08 39 16	-44 03 00		5.0	500	0.07	8.57	D14	-0.51	1.79	91	K14						4-2-p-*	WEBDA	Lynga
911		FSR 1443	08 39 26	-47 21 25	IR	2.7	1864	0.458	8.77	K14	-4.12	8.37	193	K14							WEBDA	Lynga
912		FSR 1441	08 39 36	-47 06 30	IR	5.4	1659	0.625	8.73	D14	-1.13	3.46	107	K14							WEBDA	Lynga
913		FSR 1415	08 40 22	-44 44 01	IR	3.0	3530	1.87	9.25	D14	0.39	3.56	38	K14							WEBDA	Lynga
914		NGC 2632	08 40 24	+19 40 00		70.0	187	0.009	8.863	TYC	-35.58	-12.9	70	K14	34.76	30	M09	0.27	7		WEBDA	Lynga
915	P	IC 2391	08 40 32	-53 02 00		60.0	175	0.008	7.661	TYC	-24.97	22.7	19	K14	14.49	16	M09	-0.01	7		WEBDA	Lynga
916		Ruprecht 66	08 40 34	-38 04 48		8.0	3760	0.9	8.78	D14	-1.8	3.2	176	K14						2-1-p-*	WEBDA	Lynga
917		Pismis 7	08 41 08	-38 42 00		3.0	4900	0.69	8.7	D14	-0.23	2.86	42	K14						2-1-p-*	WEBDA	Lynga
918	P	Pismis 8	08 41 36	-46 16 00		3.0	1312	0.706	7.427	D14	-3.29	3.07	50	K14	63.4	1	D14				WEBDA	Lynga
919	P	Ruprecht 67	08 41 39	-43 22 00		6.0	1504	0.432	8.256	D14	-2.66	2.56	61	K14	-15.4		RGDZ				WEBDA	Lynga
