map,cmd,stars,MWSC,Name,Type,RAJ2000,DEJ2000,r0,r1,r2,pmRA,pmDE,RV,d,E(B-V),logt,rc,rt,k,SType,[Fe/H],Simbad
map,cmd,stars,2211,Ruprecht_167,r,214.593,-58.988,0.02,0.13,0.2,-5.86,-3.2,,1609.0,0.521,7.245,1.71,8.01,0.75,,,Simbad
map,cmd,stars,2212,ESO_175-06,,214.695,-56.89,0.02,0.11,0.195,-8.74,-1.88,-27.9,586.0,0.187,8.6,0.35,3.18,15.97,,,Simbad
map,cmd,stars,2213,DBSB_88,,214.905,-65.432,0.016,0.05,0.085,-8.43,-3.72,,1366.0,1.874,7.85,0.62,4.13,3.56,irc,,Simbad
map,cmd,stars,2214,FSR_1667,r,215.422,-72.085,0.015,0.095,0.155,-4.72,2.48,,5175.0,0.25,9.35,2.8,27.2,0.6,,,Simbad
map,cmd,stars,2215,Lynga_2,,216.112,-61.33,0.02,0.12,0.2,-6.25,-6.5,-9.9,932.0,0.323,8.43,1.1,5.81,25.95,,,Simbad
map,cmd,stars,2216,DBSB_136,,216.25,-60.375,0.015,0.045,0.07,-5.03,-1.81,-63.9,6581.0,1.27,6.0,3.09,14.75,0.83,irc,,Simbad
map,cmd,stars,2217,NGC_5593,,216.405,-54.8,0.025,0.075,0.135,-3.5,-1.72,,808.0,0.042,8.77,0.34,3.91,47.23,,,Simbad
map,cmd,stars,2218,NGC_5606,,216.945,-59.63,0.02,0.06,0.115,-2.9,-2.83,-38.3,2141.0,0.458,7.35,0.4,8.24,18.95,,,Simbad
map,cmd,stars,2219,FSR_1680,,217.14,-60.02,0.01,0.07,0.115,-3.28,-6.4,,1458.0,0.562,8.59,1.49,4.59,8.9,,,Simbad
map,cmd,stars,2220,FSR_1682,,217.297,-58.71,0.015,0.105,0.18,-8.23,-1.23,,1388.0,0.583,9.16,0.58,5.96,11.8,,,Simbad
map,cmd,stars,2222,NGC_5634,g,217.405,-5.976,0.02,0.075,0.115,1.15,-1.33,-45.1,25214.0,0.052,10.1,2.94,46.81,1.98,glo,-1.645,Simbad
map,cmd,stars,2223,NGC_5617,,217.447,-60.715,0.025,0.085,0.145,-2.9,-3.0,-35.8,1769.0,0.5,8.25,0.83,8.78,26.58,,,Simbad
map,cmd,stars,2224,Loden_1378,,217.53,-58.215,0.025,0.095,0.15,-4.31,-3.74,,1346.0,0.479,8.84,1.22,4.47,2.46,,,Simbad
map,cmd,stars,2225,Pismis_19,,217.65,-60.885,0.03,0.075,0.12,-1.08,-1.82,,1978.0,1.301,9.015,0.68,4.1,92.35,,,Simbad
map,cmd,stars,2226,Trumpler_22,,217.732,-61.165,0.02,0.08,0.15,-5.06,-4.2,,1614.0,0.5,8.495,0.88,6.56,15.4,,,Simbad
