recno	ID	NameLit	SourceCat	TypeSourceCat	Sep	SepTidal	SepTidalLit	SepTidalData	pmRASep	pmRASigma	pmDESep	pmDESigma	PlxSep	PlxSigma	maxSigma	meanSigma
187	13	ASCC_21	Cantat-Gaudin+20	gaia_dr2	0.08615	0.04820298	0.10505719	0.04820298	0.1284	0.29730929	0.05572	0.02396	0.03984	0.0	0.297	0.1071
188	1704	ASCC_22	Kharchenko+13	position	0.02989	0.01159269	0.14580856	0.01159269								
189	1704	ASCC_22	Kharchenko+13	hipparcos	0.02989	0.01159269	0.14580856	0.01159269	1.143	0.27000871	0.3387	0.07134	0.01989	0.0	0.27	0.1138
190	14	ASCC_23	Cantat-Gaudin+20	gaia_dr2	0.02701	0.01708465	0.04233199	0.01708465	0.01941	0.0	0.03806	0.0	0.03353	0.0	0.0	0.0
191	14	ASCC_23	Dias+02	position	0.03992	0.02525539	0.11090086	0.02525539								
192	14	ASCC_23	Kharchenko+13	hipparcos	0.04198	0.02655645	0.11194949	0.02655645	0.3286	0.07727794	0.8039	0.2091	0.01014	0.0	0.209	0.09547
193	14	ASCC_23	Kharchenko+13	position	0.04198	0.02655645	0.11194949	0.02655645								
194	15	ASCC_24	Bica+18	position	0.07846	0.02113945	0.22416578	0.02113945								
195	15	ASCC_24	Dias+02	position	0.07846	0.02113945	0.22416578	0.02113945								
196		ASCC_25	Kharchenko+13	position,hipparcos												
197		ASCC_25	Bica+18	position												
198		ASCC_25	Dias+02	position												
199		ASCC_26	Bica+18	position												
200		ASCC_26	Kharchenko+13	position,hipparcos												
201		ASCC_26	Dias+02	position												
202	16	ASCC_27	Kharchenko+13	position	0.1245	0.51895197	0.51895197	0.7946066								
203	16	ASCC_27	Bica+18	position	0.1283	0.64174213	0.64174213	0.81884991								
204	16	ASCC_27	Dias+02	position	0.1283	0.64174213	0.64174213	0.81884991								
205	17	ASCC_28	Kharchenko+13	position	0.1239	0.17439222	0.45896056	0.17439222								
206	17	ASCC_28	Dias+02	position	0.07592	0.10684164	0.25306455	0.10684164								
207	17	ASCC_28	Kharchenko+13	hipparcos	0.1239	0.17439222	0.45896056	0.17439222	0.1792	0.03521586	2.128	0.5665	0.0953	0.3844	0.566	0.3287
208	1620	ASCC_28	Dias+02	position	0.2221	0.56569536	0.74023813	0.56569536								
209	18	ASCC_29	Bica+18	position	0.02366	0.04456078	0.10920708	0.04456078								
210	18	ASCC_29	Dias+02	position	0.02366	0.04456078	0.10755243	0.04456078								
211	18	ASCC_29	Cantat-Gaudin+20	gaia_dr2	0.01857	0.03497617	0.0677816	0.03497617	0.01422	0.0	0.03153	0.0	0.0336	0.0	0.0	0.0
212	18	ASCC_29	Kharchenko+13	hipparcos	0.02261	0.04258634	0.10768152	0.04258634	0.8138	0.1916884	1.121	0.2687	0.2041	1.142	1.14	0.5341
213	18	ASCC_29	Kharchenko+13	position	0.02261	0.04258634	0.10768152	0.04258634								
214		ASCC_3	Bica+18	position												
215		ASCC_3	Dias+02	position												
