ID,NameLit,SourceCat,TypeSourceCat,Sep,SepTidal,SepTidalLit,SepTidalData,pmRASep,pmRASigma,pmDESep,pmDESigma,PlxSep,PlxSigma,maxSigma,meanSigma
5617,ASCC_2,Dias+02,position,0.1946,0.26229577,0.64867483,0.26229577,,,,,,,,
5617,ASCC_2,Bica+18,position,0.1946,0.26229577,0.64867483,0.26229577,,,,,,,,
6172,ASCC_2,Dias+02,position,0.04324,0.05898523,0.14414242,0.05898523,,,,,,,,
12,ASCC_20,Dias+02,position,0.09187,0.05632426,0.12249849,0.05632426,,,,,,,,
12,ASCC_20,Kharchenko+13,hipparcos,0.08143,0.04992239,0.11231917,0.04992239,1.159,0.28057846,0.429,0.09588,0.2304,0.6382,0.638,0.3382
12,ASCC_20,Kharchenko+13,position,0.08143,0.04992239,0.11231917,0.04992239,,,,,,,,
13,ASCC_21,Dias+02,position,0.05497,0.03076074,0.06871831,0.03076074,,,,,,,,
13,ASCC_21,Cantat-Gaudin+20,gaia_dr2,0.08615,0.04820298,0.10505719,0.04820298,0.1284,0.29730929,0.05572,0.02396,0.03984,0.0,0.297,0.1071
1704,ASCC_22,Kharchenko+13,position,0.02989,0.01159269,0.14580856,0.01159269,,,,,,,,
1704,ASCC_22,Kharchenko+13,hipparcos,0.02989,0.01159269,0.14580856,0.01159269,1.143,0.27000871,0.3387,0.07134,0.01989,0.0,0.27,0.1138
14,ASCC_23,Cantat-Gaudin+20,gaia_dr2,0.02701,0.01708465,0.04233199,0.01708465,0.01941,0.0,0.03806,0.0,0.03353,0.0,0.0,0.0
14,ASCC_23,Dias+02,position,0.03992,0.02525539,0.11090086,0.02525539,,,,,,,,
14,ASCC_23,Kharchenko+13,hipparcos,0.04198,0.02655645,0.11194949,0.02655645,0.3286,0.07727794,0.8039,0.2091,0.01014,0.0,0.209,0.09547
14,ASCC_23,Kharchenko+13,position,0.04198,0.02655645,0.11194949,0.02655645,,,,,,,,
15,ASCC_24,Bica+18,position,0.07846,0.02113945,0.22416578,0.02113945,,,,,,,,
15,ASCC_24,Dias+02,position,0.07846,0.02113945,0.22416578,0.02113945,,,,,,,,
0,ASCC_25,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_25,Bica+18,position,,,,,,,,,,,,
0,ASCC_25,Dias+02,position,,,,,,,,,,,,
0,ASCC_26,Bica+18,position,,,,,,,,,,,,
0,ASCC_26,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_26,Dias+02,position,,,,,,,,,,,,
16,ASCC_27,Kharchenko+13,position,0.1245,0.51895197,0.51895197,0.7946066,,,,,,,,
16,ASCC_27,Bica+18,position,0.1283,0.64174213,0.64174213,0.81884991,,,,,,,,
16,ASCC_27,Dias+02,position,0.1283,0.64174213,0.64174213,0.81884991,,,,,,,,
17,ASCC_28,Kharchenko+13,position,0.1239,0.17439222,0.45896056,0.17439222,,,,,,,,
17,ASCC_28,Dias+02,position,0.07592,0.10684164,0.25306455,0.10684164,,,,,,,,
17,ASCC_28,Kharchenko+13,hipparcos,0.1239,0.17439222,0.45896056,0.17439222,0.1792,0.03521586,2.128,0.5665,0.0953,0.3844,0.566,0.3287
1620,ASCC_28,Dias+02,position,0.2221,0.56569536,0.74023813,0.56569536,,,,,,,,
18,ASCC_29,Bica+18,position,0.02366,0.04456078,0.10920708,0.04456078,,,,,,,,
18,ASCC_29,Dias+02,position,0.02366,0.04456078,0.10755243,0.04456078,,,,,,,,
18,ASCC_29,Cantat-Gaudin+20,gaia_dr2,0.01857,0.03497617,0.0677816,0.03497617,0.01422,0.0,0.03153,0.0,0.0336,0.0,0.0,0.0
